each,acc,F1,recall,precision
0,0.2506893382352941,0.5,0.3339455157636975,0.5013786764705882
1,0.7187952012971478,0.7186547184460441,0.7186642025447383,0.71875
2,0.7314834760903386,0.7287613834118979,0.7280331891701353,0.7288602941176471
3,0.7393363859782638,0.7375124605065302,0.7370694352656517,0.7375919117647058
4,0.7388358463570328,0.7346538710099811,0.7336188758481994,0.7348345588235294
5,0.7272459261524868,0.7259705676362276,0.7253342585609456,0.7256433823529411
6,0.7292521845153423,0.7287354651653956,0.7286675238798109,0.7288602941176471
7,0.7153639606694882,0.7134403079137761,0.7129746490383955,0.7136948529411765
8,0.7087306417799418,0.7085952178203101,0.7085766818083495,0.7086397058823529
9,0.7106646999404065,0.71053941011338,0.7104483437716234,0.7104779411764706
10,0.7141277023629965,0.7140973097008084,0.7141070746602589,0.7141544117647058
11,0.7128232813244523,0.7128141117433122,0.7127751893519003,0.7127757352941176
12,0.7077195010257294,0.7076914238984615,0.707695895049525,0.7077205882352942
13,0.7101518489745843,0.7090992647058824,0.7087345505341773,0.7090992647058824
